RunTime,ExecutableName
2024-02-11 03:46:43,121.0.6167.161_CHROME_INSTALL
2024-02-12 04:40:45,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-02-11 03:55:02,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-02-11 03:49:14,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-02-05 03:39:47,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-02-02 16:23:29,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-02-02 15:58:20,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-02-12 04:45:21,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-02-11 03:59:22,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-02-11 03:46:24,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-02-05 03:44:48,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-02-05 03:33:38,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-02-03 00:02:35,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-01-31 13:49:28,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-02-12 04:40:15,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-02-11 03:54:47,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-02-04 19:01:52,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-02-04 19:01:50,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-02-04 19:01:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-02-02 16:23:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-02-11 04:01:23,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-11 03:50:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-11 03:50:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-11 03:50:35,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-11 03:50:34,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-05 03:36:27,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-05 03:36:27,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-05 03:36:27,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-11 03:58:51,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-02-11 03:47:03,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\121.0.6167.161\INSTALLER\CHRMSTP.EXE
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:18,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:05,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:04,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:00,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:46:59,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:25,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:24,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:22,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:21,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:19,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:18,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:16,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:47:16,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-02-11 03:49:06,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEMAPPS\MICROSOFT.WINDOWS.APPREP.CHXAPP_CW5N1H2TXYEWY\CHXSMARTSCREEN.EXE
2024-02-11 03:54:45,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-11 03:54:46,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-11 03:49:37,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-11 03:49:37,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-02 15:58:11,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-02 15:58:11,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-02 15:58:11,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-02 15:58:11,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CMD.EXE
2024-02-12 05:05:08,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2024-02-12 04:54:41,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2024-02-12 05:05:08,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-12 04:54:41,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-12 04:49:41,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-12 04:49:41,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-11 04:03:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-11 03:54:45,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-11 03:54:46,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-11 03:49:28,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-02-12 05:11:32,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-02-12 04:47:58,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-02-12 04:41:34,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-02-11 04:01:56,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-02-11 03:46:24,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:46:21,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-05 03:40:14,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-02 16:23:02,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-01-31 12:27:54,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-01-31 12:21:46,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-12 04:45:36,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:48:04,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-05 03:36:37,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-02 15:56:01,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-01-31 12:20:01,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-12 05:11:30,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-12 05:00:49,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-12 04:47:24,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 04:01:07,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:57:21,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:54:32,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:47:43,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:46:18,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-12 04:47:58,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:58:48,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 03:53:07,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-05 03:39:46,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-05 03:36:40,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-05 03:35:00,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-05 03:33:34,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-02 16:26:07,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-02 23:58:13,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-02-11 04:01:10,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-02-11 04:01:10,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-01-31 12:21:21,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-01-31 12:21:20,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-02-12 04:47:23,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\24.015.0121.0003\FILECOAUTH.EXE
2024-02-12 04:40:45,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\24.015.0121.0003\FILECOAUTH.EXE
2024-02-11 03:57:20,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\24.015.0121.0003\FILECOAUTH.EXE
2024-02-11 03:47:49,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\24.015.0121.0003\FILECOAUTH.EXE
2024-02-02 16:23:22,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.XBOXGAMINGOVERLAY_2.34.28001.0_X64__8WEKYB3D8BBWE\GAMEBAR.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLECRASHHANDLER.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLECRASHHANDLER.EXE
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLECRASHHANDLER.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLECRASHHANDLER64.EXE
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLECRASHHANDLER64.EXE
2024-02-12 04:52:26,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-12 04:46:22,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:52:07,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\GOOGLEUPDATE.EXE
2024-02-11 03:46:34,GOOGLEUPDATECOMREGISTERSHELL6
2024-02-11 03:46:34,GOOGLEUPDATECOMREGISTERSHELL6
2024-02-11 03:46:34,GOOGLEUPDATECOMREGISTERSHELL6
2024-02-11 03:46:58,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\GOOGLE\UPDATE\1.3.36.372\GOOGLEUPDATEONDEMAND.EXE
2024-02-11 03:46:26,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\TEMP\GUM9035.TMP\GOOGLEUPDATESETUP.EXE
2024-02-05 03:38:29,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\LOGONUI.EXE
2024-02-02 16:01:45,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\LOGONUI.EXE
2024-01-31 13:48:14,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\LOGONUI.EXE
2024-02-02 23:57:31,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\TEMP\EUB580.TMP\MICROSOFTEDGEUPDATE.EXE
2024-02-12 05:05:25,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:45:35,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:41:36,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:55:31,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:49:06,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:46:19,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 05:07:39,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:45:35,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:45:35,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:48:01,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-11 03:48:01,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-05 03:36:35,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-05 03:33:27,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-05 03:33:30,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2024-02-12 04:40:16,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-11 03:54:45,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-04 19:01:51,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-02 16:23:36,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-02 15:58:10,\VOLUME{01da548a92ca424f-2492e71d}\USERS\WOCSA\APPDATA\LOCAL\MICROSOFT\EDGEUPDATE\1.3.183.29\MICROSOFTEDGEUPDATECORE.EXE
2024-02-11 03:54:35,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MOBSYNC.EXE
